code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank,AIR.current,HAD.current,PME.current,PMW.current,DST.current,DXT.current
4,AFG,Afghanistan,34.656032,2.689163473,53.08340532,60.28705023,652860,1739.583177,46.8,37.74,168,44.67,0,71.78,77.11,82.88,100
8,ALB,Albania,2.876101,-0.159880412,104.9671898,32.66991645,27400,11359.09916,68.9,65.46,40,65.47,30.95,88.9,88.08,83.25,88.9
12,DZA,Algeria,40.606052,1.825463432,17.04889491,565.284,2381741,13921.17608,68.8,57.18,88,93.98,87.42,100,96.72,83.63,8.68
24,AGO,Angola,28.813463,3.367572131,23.11178551,172.438,1246700,5984.632947,50.2,37.44,170,44.66,14.77,60.72,68.46,59.85,55.99
28,ATG,Antigua and Barbuda,0.100963,1.03542237,229.4613636,2.121537299,440,21013.01763,-9999,59.18,76,89.13,72.82,100,100,46.86,47.03
32,ARG,Argentina,43.84743,0.984741906,16.0220668,810.714,2736690,18489.43028,72.5,59.3,74,84.57,65.25,100,94.9,0.07,38.95
51,ARM,Armenia,2.924816,0.269302288,102.7332631,23.95494292,28470,8190.239289,71.7,62.07,63,53.55,36.71,60.04,69.52,97.85,36
36,AUS,Australia,24.127159,1.410063834,3.140616612,1071.58,7682300,44413.84914,75.9,74.12,21,100,100,100,100,35.8,41.89
40,AUT,Austria,8.747358,1.314006681,105.9990306,388.015,82523,44357.965,81.4,78.97,8,82.21,86.88,77.05,81.13,92.29,80.33
31,AZE,Azerbaijan,9.762274,1.163574223,118.0972624,156.138,82663,15994.01943,70.8,62.33,59,47.44,30.57,53.14,64.22,93.51,97.21
44,BHS,Bahamas,0.391232,1.129473367,39.08411588,8.168481869,10010,20878.86949,-9999,54.99,98,84.19,60.47,100,100,16.38,4.82
48,BHR,Bahrain,1.425171,3.812796793,1848.470817,64.33731963,771,45143.579,64.6,55.15,96,67.81,73.54,62.48,65.5,84.45,34.32
50,BGD,Bangladesh,162.95156,1.080165239,1251.836521,540.894,130170,3319.354537,56.2,29.56,179,4.12,10.31,0,0,52.91,27.53
52,BRB,Barbados,0.284996,0.273711418,662.7813953,4.773832887,430,16750.52593,66,55.76,93,100,100,100,100,43.66,36.77
112,BLR,Belarus,9.50712,0.184284342,46.8538761,159.171,202910,16742.2942,77.1,64.98,44,69.71,68.5,69.55,71.47,72.06,72.6
56,BEL,Belgium,11.348159,0.653895349,374.7740753,477.288,30280,42058.62819,80,77.38,15,88.63,96.74,79.83,86.6,93.08,64.97
84,BLZ,Belize,0.366954,2.111220431,16.0874178,2.879126894,22810,7846.015833,66,57.79,81,74.73,36.82,100,100,38.4,40.74
204,BEN,Benin,10.872298,2.763534181,96.41981199,21.85289913,112760,2009.961384,49.5,38.17,167,50.66,6.23,81.35,79.22,39.78,10.32
64,BTN,Bhutan,0.797765,1.309546955,20.92937534,6.584188915,38117,8253.293783,65.5,47.22,131,36.89,24.94,41.52,48.2,45.77,50.79
68,BOL,Bolivia,10.887882,1.510046906,10.05066187,73.03543539,1083300,6707.956184,64.7,55.98,92,70.92,30.12,100,96.22,56.25,21.18
70,BIH,Bosnia and Herzegovina,3.516816,-0.54290805,68.6878125,39.8364244,51200,11327.41218,65.5,41.84,158,60.37,28.68,80.39,82.59,19,42.57
72,BWA,Botswana,2.25026,1.841666401,3.970603286,35.38137144,566730,15723.23707,58.3,51.7,113,43.33,24.29,52.48,59.58,52.57,32.35
76,BRA,Brazil,207.652865,0.817555711,24.84438703,2912.06,8358140,14023.69286,69.5,60.7,69,78.78,55.19,100,89.01,52.49,22.6
96,BRN,Brunei Darussalam,0.423196,1.345029067,80.3028463,30.38072591,5270,71788.78324,-9999,63.57,53,98.76,100,100,95.87,2.62,2.41
